ip_address|cluster_label
2a05:980:0:2::a|4
81.89.62.91|8
109.74.153.146|2
93.184.64.67|5
45.89.54.163|3
81.89.52.108|7
92.240.230.139|7
93.184.64.103|7
45.89.54.5|6
86.110.242.106|7
86.110.228.30|7
86.110.227.18|7
45.89.54.16|3
46.229.232.8|3
93.184.68.176|6
217.73.18.150|8
45.89.54.31|3
93.184.67.92|0
93.184.64.7|0
86.110.248.215|3
109.74.155.74|0
46.229.233.78|8
86.110.248.218|3
192.168.119.211|3
86.110.234.105|7
109.74.155.145|0
109.74.150.173|0
109.74.146.33|6
109.74.150.117|0
46.229.225.5|6
46.229.239.44|3
86.110.229.184|7
46.229.233.127|3
2a01:390:1450:1:face:b00c:3333:7020|4
81.89.57.20|0
46.229.238.200|4
185.66.200.104|4
185.66.200.27|6
5.252.23.223|8
92.240.229.98|7
93.184.72.87|7
46.229.233.30|6
45.95.11.130|3
45.89.54.12|0
45.149.176.12|4
45.89.54.246|6
185.66.201.35|0
185.66.200.101|6
45.95.11.14|6
81.89.58.88|5
46.229.233.150|3
185.66.200.28|6
45.95.11.192|3
5.252.23.94|8
81.89.61.122|2
46.229.231.82|1
192.168.191.38|2
93.184.64.85|7
100.64.4.113|2
100.64.4.86|2
86.110.234.99|7
86.110.242.107|7
81.89.63.55|7
5.252.23.184|7
217.73.21.61|0
192.168.203.9|2
81.89.58.11|0
109.74.147.235|0
86.110.234.19|7
81.89.62.92|8
93.184.64.110|7
81.89.50.217|7
217.73.25.100|6
217.73.20.107|7
45.89.54.236|6
185.48.248.135|6
93.184.76.1|0
100.64.4.80|2
81.89.54.146|3
46.229.227.26|5
217.73.25.98|0
185.66.200.200|6
217.73.18.153|7
93.184.76.253|7
93.184.68.238|7
185.176.72.60|3
81.89.55.106|7
192.168.193.138|2
109.74.146.31|1
93.184.72.111|7
185.66.200.9|6
185.66.200.167|6
81.89.56.216|7
217.73.27.219|6
217.73.21.45|6
45.89.54.177|3
86.110.247.25|0
46.229.237.43|3
109.74.155.182|0
